state,city,pop_2014,pop_1950,violentcrime,murder
Missouri,St. Louis,318574,856796,1678.7,49.90
Michigan,Detroit,684694,1849568,1988.6,43.50
Louisiana,New Orleans,387113,570445,973.9,38.70
Maryland,Baltimore,623513,949708,1338.5,33.80
New Jersey,Newark,279110,438776,1077.7,33.30
New York,Buffalo,258419,580132,1228.2,23.20
Pennsylvania,Pittsburgh,307613,676806,798.1,22.40
Tennessee,Memphis,654922,482393,1740.5,21.40
Georgia,Atlanta,454363,726789,1227.4,20.50
Ohio,Cincinnati,297671,503998,905.4,20.20
California,Oakland,409994,384575,1685.4,19.50
Florida,Miami,421996,249276,1060,19.20
Missouri,Kansas City,468417,129553,1251.4,16.70
California,Stockton,299519,70853,1331.5,16.40
Ohio,Cleveland,388655,914808,1334.3,16.20
Pennsylvania,Philadelphia,1559062,2071605,1021.4,15.90
District of Columbia,Washington,658893,802178,1185.3,15.90
Indiana,Indianapolis,858238,427173,1254.7,15.80
Illinois,Chicago,2724121,3620962,884.3,15.10
Wisconsin,Milwaukee,600374,637392,1476.4,15.00
Alabama,Mobile,250655,129009,593.6,12.40
Oklahoma,Tulsa,399556,182740,805.1,11.50
Florida,Jacksonville,856021,204517,683.7,11.20
Texas,Houston,2219933,596163,991.4,10.90
Ohio,Columbus,830811,375901,549.2,10.00
California,Fresno,513187,165972,464.2,9.20
New Jersey,Jersey City,260005,299017,531.1,9.20
Texas,Dallas,1272396,434462,664.7,9.10
Arizona,Tucson,525486,45454,640.9,8.90
Texas,Corpus Christi,319211,108287,656,8.50
Ohio,Toledo,281150,303616,1091.2,8.50
Kentucky,Louisville Metro,677710,369129,591,8.30
North Carolina,Greensboro,282203,0,477,8.20
Massachusetts,Boston,654413,801444,725.7,8.10
Nevada,Las Vegas,1530899,0,841.1,8.00
Florida,Tampa,357124,0,582.4,7.80
Minnesota,Minneapolis,404461,521718,1012,7.70
Florida,St. Petersburg,250772,0,864.9,7.60
Arizona,Phoenix,1529852,106818,571.9,7.50
Oklahoma,Oklahoma City,617975,243504,773.8,7.30
Nebraska,Omaha,438465,251117,560.6,7.30
Texas,San Antonio,1428465,408442,539.3,7.20
California,Los Angeles,3906772,1970358,490.7,6.70
Kentucky,Lexington,311848,0,333.8,6.40
Tennessee,Nashville,647689,174307,1122.5,6.30
Texas,Fort Worth,789035,278778,560.2,6.10
Florida,Orlando,259675,0,901.1,5.80
California,Sacramento,482767,0,614.8,5.80
Texas,Laredo,250994,0,388.9,5.60
North Carolina,Charlotte-Mecklenburg,856916,0,589.8,5.50
New Mexico,Albuquerque,558874,0,882.8,5.40
California,San Francisco,850294,775357,795.1,5.30
California,Santa Ana,336462,0,374.5,5.30
California,Long Beach,471123,0,489,4.90
Colorado,Denver,665353,415786,598.6,4.70
Indiana,Fort Wayne,257172,0,317.3,4.70
California,Bakersfield,367406,0,456.7,4.60
Colorado,Colorado Springs,444949,0,458.3,4.50
Oregon,Portland,615672,0,472.8,4.20
California,Anaheim,346956,0,317.3,4.00
Alaska,Anchorage,301306,0,864.6,4.00
New York,New York,8473938,7891957,596.7,3.90
Washington,Seattle,663410,0,603.1,3.90
Kansas,Wichita,386486,0,793,3.90
California,Riverside,319453,0,433.2,3.80
Virginia,Virginia Beach,451102,0,146.3,3.80
Minnesota,St. Paul,297984,0,662.5,3.70
Texas,Austin,903924,0,396.2,3.50
Texas,Arlington,382976,0,484.1,3.40
California,San Jose,1009679,0,321.1,3.20
Texas,El Paso,680273,0,392.6,3.10
Arizona,Mesa,462092,0,458.6,2.80
North Carolina,Raleigh,428993,0,392.3,2.80
California,Chula Vista,259894,0,235.5,2.70
Nebraska,Lincoln,271208,0,338.5,2.60
California,San Diego,1368690,0,380.9,2.30
Texas,Plano,277822,0,165.2,1.40
Nevada,Henderson,274121,0,164.9,1.10
Arizona,Chandler,252369,0,184.7,0.40
